"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
54,801739,"Lagrange, Carlos",262,20.6,0,0,0,0,0.238,,,0,4,58.2,-42.5,2601,83.3,82.3,3,8,46,-1,5.69,110,149,118,151,290,322,286,"0.925","-0.925",,,,6,2,0,0,0,0,2,33.3,1,16.7,"3","0.3","-1.28","0.22","88.1",47,0,0,0,6.31,-2.2,-0.08,2.84,0.333,0,"-1.712962963",,,"1.712962963",,,,,37.5,,,,,,,
54,676680,"Cosgrove, Tom",109,49.5,0.143,0.143,0.167,0.286,0.269,,,1,7,79.9,30.8,2774,75.4,74.01,4,14,40,-1.4000000000000057,5.5,113,149,123,149,295,318,289,"-0.41","0.41",,,,10,6,0,1,0,0,2,20,1,10,"4.14","-0.09","-1.73","0.16","89.9",164,16.666666666666664,0,0,5.16,2.82,0.12,2.32,0.3,0,"0.759259259",,,"-0.759259259",,,,,28.6,,,,,,,
54,676046,"McGarry, Griff",121,44.6,0.091,0,0.143,0.091,0.215,,,1,11,78.6,2.6,2920,82.8,82.92,7,18,36,0.10000000000000853,6.66,111,148,118,148,297,324,293,"0.923","-0.923",,,,14,7,1,0,0,0,4,28.6,2,14.3,"3.57","-0.21","-1.32","-0.48","90.2",106,28.57142857142857,0,0,4.95,-1.89,0.42,1.92,0.286,0,"-1.709259259",,,"1.709259259",,,,,38.9,,,,,,,
53,677865,"Bruihl, Justin",150,35.3,0.2,0.2,0.333,0.4,0.329,,,2,10,84.3,17.5,2518,77.8,78.25,8,22,31,0.5,6.72,107,147,112,149,287,320,284,"-0.214","0.214",,,,14,6,1,0,1,0,5,35.7,2,14.3,"3.93","-0.15","-1.57","-0.01","92.9",154,50,16.666666666666664,7.142857142857142,4.85,3.42,-0.18,1.91,0.357,1,"0.403773585",,,"-0.403773585",,,,,36.4,,,,,,,
53,694795,"Ekness, Josh",171,31,0.125,0.063,0.25,0.188,0.134,,,2,16,83.8,15,2533,84.3,84.58,12,24,29,0.29999999999999716,6.52,112,148,121,147,290,310,283,"1.177","-1.177",,,,16,8,1,1,0,0,8,50,0,0,"2.75","0.46","-1.16","-0.62","91.1",181,50,12.5,6.25,5.32,-3.25,0.2,1.98,0.125,1,"-2.220754717",,,"2.220754717",,,,,50,,,,,,,
52,664875,"Lawrence, Justin",126,41.3,0,0,0,0,0.127,,,0,9,85.5,20,2959,82.8,82.33,8,24,28,-0.5,6.14,114,148,120,149,290,321,291,"1.54","-1.54",,,,11,4,0,0,0,0,5,45.5,2,18.2,"2.95","0.39","-1.26","0.21","89.9",121,50,0,0,4.31,-3.04,0.27,2.2,0.182,0,"-2.961538462",,,"2.961538462",,,,,33.3,,,,,,,
51,688107,"Gasser, Robert",205,24.9,0.154,0.231,0.2,0.385,0.289,,,2,13,79.5,0.5,2451,81.8,82.3,9,23,28,0.5,6.72,111,147,115,147,287,312,299,"0.407","-0.407",,,,15,6,1,0,0,1,7,46.7,2,13.3,"3.06","0.36","-1.11","-0.17","93.0",181,50,16.666666666666664,6.666666666666667,5.28,2.29,-0.42,1.92,0.267,1,"-0.798039216",,,"0.798039216",,,,,39.1,,,,,,,
51,641743,"Kay, Anthony",347,14.7,0.222,0,0.4,0.222,0.289,,,2,9,93.7,12.6,2476,82.2,81.45,6,19,32,-0.7999999999999972,5.87,113,148,118,149,296,330,305,"-0.11","0.11",,,,11,5,2,0,0,0,4,36.4,2,18.2,"3.54","-0.16","-0.96","-0.46","90.8",129,40,0,0,5.65,2.24,-0.48,2.01,0.364,0,"0.215686275",,,"-0.215686275",,,,,31.6,,,,,,,
51,663767,"Shugart, Chase",174,29.3,0.1,0,0.1,0.1,0.229,,,1,10,80.6,25.7,2601,79.9,79.6,8,28,23,-0.30000000000001137,6.14,112,148,117,146,287,315,288,"0.677","-0.677",,,,13,10,1,0,0,0,0,0,3,23.1,"3.56","0.03","-1.21","-0.58","90.0",117,20,0,0,5.3,-2.15,0.54,1.79,0.308,0,"-1.32745098",,,"1.32745098",,,,,28.6,,,,,,,
50,663992,"Lovelady, Richard",100,50,0.182,0.091,0.333,0.273,0.237,,,2,11,91.5,30.3,2471,82.5,83.78,11,25,25,1.2999999999999972,7.16,105,142,112,139,297,310,288,"0.905","-0.905",,,,12,6,1,1,0,0,5,41.7,1,8.3,"3.32","0.05","-1.12","0.62","92.1",145,50,16.666666666666664,8.333333333333332,5.22,2.42,-0.34,1.72,0.25,1,"-1.81",,,"1.81",,,,,44,,,,,,,
