"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
83,678606,"Ferrer, José A.",145,57.2,0.4,0.4,0.455,0.8,0.529,,,6,15,93.8,5.1,2095,96.7,96.17,9,44,39,-0.5,6.04,114,145,117,145,294,321,295,"-1.31","1.31",,,,17,12,2,3,0,1,3,17.6,2,11.8,"1.92","0.52","1.42","0.08","92.1",163,41.66666666666667,0,0,5.92,2.96,0.02,2.4,0.471,0,"1.578313253",,,"-1.578313253",,,,,20.5,,,,,,,
83,801403,"Dollander, Chase",292,28.4,0.364,0.136,0.348,0.5,0.397,,,8,22,88,-0.7,2399,97.9,97.73,5,39,44,-0.20000000000000284,6.25,112,148,114,147,293,315,294,"-0.916","0.916",,,,26,23,5,3,0,0,0,0,3,11.5,"1.84","0.54","1.47","0.59","93.3",125,56.52173913043478,8.695652173913043,7.6923076923076925,5.1,-1.96,-0.12,2.34,0.423,2,"1.103614458",,,"-1.103614458",,,,,12.8,,,,,,,
81,657044,"Thompson, Ryan",171,47.4,0.294,0.176,0.294,0.471,0.345,,,5,17,95.4,-4.4,1961,88.6,88.78,7,37,44,0.20000000000000284,6.64,114,148,118,149,300,320,300,"0.854","-0.854",,,,18,17,3,1,1,0,0,0,1,5.6,"3.55","-0.62","0.96","0.28","95.6",100,70.58823529411765,11.76470588235294,11.11111111111111,3.64,-3.9,-0.33,2,0.333,2,"-1.054320988",,,"1.054320988",,,,,18.9,,,,,,,
80,670970,"Morejon, Adrian",130,61.5,0.222,0,0.364,0.222,0.224,,,4,18,93.2,-11.3,2353,99.2,98.72,11,43,37,-0.5,6.18,106,149,124,149,295,326,294,"1.882","-1.882",,,,19,11,4,0,0,0,7,36.8,1,5.3,"1.45","0.88","1.2","-0.48","92.2",173,45.45454545454545,9.090909090909092,5.263157894736842,6.11,2.29,0.11,2.76,0.263,1,"-2.3525",,,"2.3525",,,,,25.6,,,,,,,
79,605280,"Holmes, Clay",182,43.4,0.053,0,0.056,0.053,0.137,,,1,19,93.6,-2.9,2147,94,92.95,6,36,43,-1,5.75,109,149,122,147,295,321,280,"3.266","-3.266",,,,22,18,1,0,0,0,1,4.5,2,9.1,"2.41","0.18","1.4","0.3","93.2",119,58.82352941176471,0,0,6.37,-1.22,-0.25,2.19,0.182,0,"-4.134177215",,,"4.134177215",,,,,16.7,,,,,,,
78,669270,"Kuhnel, Joel",185,42.2,0.273,0.182,0.294,0.455,0.344,,,6,22,87.3,-13.2,2225,95.9,96.89,12,44,34,1,6.82,109,147,114,147,294,320,294,"-1.908","1.908",,,,24,18,4,1,0,1,4,16.7,2,8.3,"1.95","0.53","1.19","0.04","93.6",123,50,11.11111111111111,8.333333333333332,6.2,-1.33,-0.18,2.08,0.333,2,"2.446153846",,,"-2.446153846",,,,,27.3,,,,,,,
78,693821,"Elder, Bryce",218,35.8,0.238,0,0.357,0.238,0.254,,,5,21,91.5,-3.6,2098,91.2,90.79,4,29,49,-0.4000000000000057,6.23,112,148,122,146,302,320,294,"1.905","-1.905",,,,23,14,5,0,0,0,7,30.4,2,8.7,"2.11","0.65","1.23","0.43","93.6",102,50,0,0,6.33,-1.54,0.01,2.05,0.304,0,"-2.442307692",,,"2.442307692",,,,,13.8,,,,,,,
76,702352,"Bivens, Spencer",176,43.2,0.304,0.043,0.333,0.348,0.309,,,7,23,90.5,-3.8,1855,94,94.21,5,36,40,0.20000000000000284,6.41,108,149,119,148,304,327,301,"0.626","-0.626",,,,26,21,6,1,0,0,3,11.5,1,3.8,"2.24","0.33","1.18","0.34","93.7",102,47.61904761904761,4.761904761904762,3.8461538461538463,5.95,-2.43,-0.42,2.52,0.346,1,"-0.823684211",,,"0.823684211",,,,,13.9,,,,,,,
76,571927,"Matz, Steven",158,48.1,0.222,0.056,0.25,0.278,0.266,,,4,18,95.6,0.8,2217,93.9,93.94,3,31,45,0,6.43,108,149,118,148,290,319,289,"2.151","-2.151",,,,20,16,3,1,0,0,2,10,2,10,"1.65","0.95","1.27","-0.11","92.8",157,56.25,6.25,5,5.86,2.48,-0.39,2.68,0.3,1,"-2.830263158",,,"2.830263158",,,,,9.7,,,,,,,
75,676879,"Ashby, Aaron",148,50.7,0.167,0,0.2,0.167,0.333,,,2,12,95.5,4.3,2068,95.7,94.38,1,22,53,-1.2999999999999972,5.39,105,149,117,148,298,319,293,"0.359","-0.359",,,,18,10,2,0,0,0,2,11.1,5,27.8,"1.81","0.67","1.15","-0.26","92.4",179,50,0,0,6.57,0.47,-0.02,2.8,0.444,0,"-0.478666667",,,"0.478666667",,,,,4.5,,,,,,,
