"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
35,682274,"Hiraldo, Yaramil",100,35,0.091,0,0.143,0.091,0.176,,,1,11,85.7,5.4,1444,86.7,86.02,12,22,13,-0.7000000000000028,6.09,111,146,127,149,292,318,289,"1.269","-1.269",,,,13,7,1,0,0,0,4,30.8,2,15.4,2.30514,0.75371,0.8,-0.388,"91.9",109,28.57142857142857,0,0,6.3,-0.65,-0.68,1.81,0.231,0,"-3.625714286",,,"3.625714286",,,,,54.5,,,,,,,
33,641793,"Littell, Zack",103,32,0.125,0,0.25,0.125,0.176,,,1,8,81.3,12.3,968,81.9,81.39,6,15,18,-0.5,5.91,109,146,121,150,287,321,290,"0.801","-0.801",,,,9,4,1,0,0,0,4,44.4,1,11.1,3.31152,0.08455,0.71485,-0.09545,"91.6",76,25,0,0,6.1,-0.78,-0.3,1.81,0.222,0,"-2.427272727",,,"2.427272727",,,,,40,,,,,,,
32,661395,"Duran, Jhoan",80,40,0,0,0,0,0.175,,,0,3,101.4,5,1810,96.9,95.88,4,14,18,-1,5.73,115,149,119,149,285,307,283,"0.962","-0.962",,,,4,3,0,0,0,0,0,0,1,25,1.9525,0.47969,1.23938,0.555,"93.2",45,66.66666666666666,0,0,6.32,-2.2,-0.26,1.97,0.25,0,"-3.00625",,,"3.00625",,,,,28.6,,,,,,,
31,681751,"Estrada, Lazaro",161,19.3,0,0,0,0,0,,,0,7,87.8,8.3,1013,84.8,85.12,3,20,11,0.29999999999999716,6.27,112,148,126,147,289,326,289,"1.741","-1.741",,,,7,6,0,0,0,0,1,14.3,0,0,2.4171,0.73129,0.65839,-0.01065,"90.6",93,50,0,0,5.83,-0.78,0.15,1.82,0,0,"-5.616129032",,,"5.616129032",,,,,15,,,,,,,
31,803135,"Gordon, Austin",142,21.8,0.2,0,0.222,0.2,0.225,,,2,10,77.6,5.7,1368,86.2,86.67,3,15,16,0.5,6.32,109,143,113,146,296,321,303,"0.477","-0.477",,,,11,9,2,0,0,0,1,9.1,1,9.1,2.63903,0.39903,0.76129,-0.49613,"88.5",166,0,0,0,6.13,-1.34,0.06,1.97,0.273,0,"-1.538709677",,,"1.538709677",,,,,20,,,,,,,
31,518585,"Cruz, Fernando",59,52.5,0,0,0,0,0.087,,,0,7,82,25,676,80,80.71,9,14,17,0.7000000000000028,6.79,115,146,124,151,295,314,281,"1.135","-1.135",,,,8,2,0,0,0,0,5,62.5,1,12.5,3.32,0.24548,0.29516,0.01581,"89.8",136,50,0,0,6,-2.09,-0.02,1.94,0.125,0,"-3.661290323",,,"3.661290323",,,,,64.3,,,,,,,
30,593576,"Neris, Héctor",122,24.6,0.25,0,0.25,0.25,0.222,,,1,4,83.4,12.3,1077,80.7,79.96,4,12,18,-0.7000000000000028,5.93,111,146,114,147,294,321,297,"-0.215","0.215",,,,4,4,1,0,0,0,0,0,0,0,3.51333,0.00793,0.75767,-0.33233,"90.4",167,25,0,0,6,-1.46,-0.45,1.64,0.25,0,"0.716666667",,,"-0.716666667",,,,,33.3,,,,,,,
30,621199,"Bowman, Matt",125,24,0.3,0,0.5,0.3,0.339,,,3,10,91,-2,896,81.6,81.85,6,18,12,0.20000000000000284,6.37,109,138,117,141,274,305,289,"0.037","-0.037",,,,12,6,3,0,0,0,4,33.3,2,16.7,3.512,-0.09733,0.08233,-0.12167,"91.5",104,33.33333333333333,0,0,6.22,-3.21,-0.46,1.89,0.417,0,"-0.123333333",,,"0.123333333",,,,,33.3,,,,,,,
30,674944,"Guenther, Sean",105,28.6,0.111,0,0.125,0.111,0.099,,,1,9,87.8,16.4,1411,83.9,83.65,1,13,17,-0.20000000000000284,6.11,112,151,124,148,296,313,275,"2.015","-2.015",,,,9,8,1,0,0,0,1,11.1,0,0,2.91933,0.318,1.22367,-0.70567,"90.3",163,25,0,0,5.71,2.82,0.39,2.01,0.111,0,"-6.716666667",,,"6.716666667",,,,,7.7,,,,,,,
28,671922,"Smith, Cade",99,28.3,0.143,0.143,0.25,0.286,0.18,,,1,7,89,1.5,610,85.3,86.32,7,15,13,1,7.18,122,150,126,152,293,326,301,"0.095","-0.095",,,,7,4,0,1,0,0,3,42.9,0,0,3.54929,-0.38643,0.5075,-0.19964,"91.0",101,25,0,0,5.83,-2.53,-0.21,1.26,0.143,0,"-0.339285714",,,"0.339285714",,,,,46.7,,,,,,,
27,680723,"Rom, Drew",108,25,0.167,0,0.333,0.167,0.286,,,1,6,108.6,-8,1072,84.6,83.47,3,9,18,-1.0999999999999943,5.61,114,150,122,149,295,320,293,"0.029","-0.029",,,,8,3,1,0,0,0,3,37.5,2,25,2.93,0.27462,0.14038,-0.20885,"98.3",122,100,0,0,5.75,1.51,0.03,1.38,0.375,0,"-0.107407407",,,"0.107407407",,,,,33.3,,,,,,,
27,669302,"Gilbert, Logan",196,13.8,0.091,0,0.2,0.091,0.135,,,1,11,86.4,-8.5,732,81.6,82.9,7,14,13,1.3000000000000114,7.34,114,142,116,144,292,324,298,"0.766","-0.766",,,,12,5,1,0,0,0,6,50,0,0,3.47519,-0.02741,0.47852,-0.08963,"90.4",75,25,0,0,6.17,-0.94,-0.74,1.49,0.167,0,"-2.837037037",,,"2.837037037",,,,,50,,,,,,,
27,640448,"Finnegan, Kyle",87,31,0.25,0.75,0,1,0.51,,,1,4,86.3,16.8,988,86.8,87.37,5,15,12,0.6000000000000085,6.54,121,146,121,148,283,327,291,"-0.731","0.731",,,,4,4,0,0,0,1,0,0,0,0,2.7137,0.31269,0.73519,-0.25963,"89.9",145,25,25,25,5.74,-2.04,-0.54,1.91,0.25,1,"2.707407407",,,"-2.707407407",,,,,33.3,,,,,,,
26,681151,"Murray, Jayden",118,22,0.111,0.333,0,0.444,0.315,,,1,9,83,27.6,1230,85.9,85.56,4,12,14,-0.30000000000001137,6.03,108,147,121,149,294,324,294,"-0.788","0.788",,,,11,5,0,0,0,1,4,36.4,1,9.1,2.91577,0.17038,1.11538,-0.51846,"90.5",172,20,20,9.090909090909092,5.63,-2.16,-0.67,1.97,0.273,1,"3.030769231",,,"-3.030769231",,,,,33.3,,,,,,,
26,640451,"Harvey, Hunter",94,27.7,0.1,0.1,0.125,0.2,0.126,,,1,10,90.8,29.5,1037,88.9,88.72,4,18,8,-0.20000000000000284,6.15,105,147,118,151,290,324,304,"0.252","-0.252",,,,10,8,0,1,0,0,2,20,0,0,2.46808,0.4304,0.70154,-0.23077,"95.2",175,25,12.5,10,5.69,-1.92,-0.12,1.74,0.1,1,"-0.969230769",,,"0.969230769",,,,,22.2,,,,,,,
26,643410,"Leiter Jr., Mark",124,21,0.143,0,0.333,0.143,0.199,,,1,7,82.4,16.7,705,84.7,84.85,4,14,12,0.20000000000000284,6.52,111,149,119,151,298,321,295,"-0.165","0.165",,,,8,3,1,0,0,0,4,50,1,12.5,3.01231,0.18077,0.33077,-0.08692,"90.9",94,33.33333333333333,0,0,5.7,-1.05,0.08,1.64,0.25,0,"0.634615385",,,"-0.634615385",,,,,28.6,,,,,,,
26,694680,"Martin, Trevor",138,18.8,0.222,0,0.4,0.222,0.198,,,2,9,81.2,-8,994,87.6,88.11,5,15,11,0.5,6.63,112,148,120,150,287,327,295,"0.354","-0.354",,,,9,5,2,0,0,0,4,44.4,0,0,3.07462,-0.10231,1.00615,-0.35231,"89.5",72,0,0,0,5.63,-1.72,-0.04,1.69,0.222,0,"-1.361538462",,,"1.361538462",,,,,33.3,,,,,,,
25,668390,"Winn, Cole",135,18.5,0,0,0,0,0.122,,,0,5,76.6,-2.3,1758,86.1,87.51,5,12,13,1.4000000000000057,7.09,104,143,118,147,304,319,306,"0.538","-0.538",,,,6,4,0,0,0,0,1,16.7,0,0,2.832,0.2364,1.1752,-0.4776,"89.9",93,0,0,0,5.32,-2,-0.66,1.93,0.167,0,"-2.152",,,"2.152",,,,,41.7,,,,,,,
25,669199,"Bachar, Lake",159,15.7,0,0,0,0,0,,,0,4,97,14.5,1721,83.7,83.17,7,14,11,-0.5,5.93,104,141,113,145,280,312,285,"0.926","-0.926",,,,5,2,0,0,0,0,3,60,0,0,2.6416,0.6124,1.2868,-0.442,"90.6",139,50,0,0,5.75,-2.09,-0.12,1.64,0,0,"-3.704",,,"3.704",,,,,50,,,,,,,
25,815148,"German, Nestor",96,26,0,0,0,0,0,,,0,4,63.4,27.7,1164,82.6,82.44,5,9,16,-0.19999999999998863,6.04,117,143,118,146,281,302,279,"0.87","-0.87",,,,4,3,0,0,0,0,1,25,0,0,2.8516,0.4768,0.7488,-0.4112,"88.0",61,0,0,0,6.4,-1.99,-0.42,1.98,0,0,"-3.48",,,"3.48",,,,,55.6,,,,,,,
25,641941,"Pagán, Emilio",117,21.4,0.111,0.333,0,0.444,0.274,,,1,9,89.4,21,822,81.4,82.63,6,16,9,1.1999999999999886,7.02,115,147,114,149,300,331,301,"0.37","-0.37",,,,10,6,0,0,0,1,3,30,1,10,3.1752,0.26417,0.5172,-0.102,"91.6",190,33.33333333333333,33.33333333333333,20,5.49,-1.48,-0.2,1.7,0.2,2,"-1.48",,,"1.48",,,,,37.5,,,,,,,
24,657746,"Ryan, Joe",175,13.7,0,0,0,0,0,,,0,2,91.7,-4.5,1906,85.9,85.97,6,9,15,0.09999999999999432,6.45,122,146,118,152,289,324,291,"-0.162","0.162",,,,2,2,0,0,0,0,0,0,0,0,2.82542,0.27792,1.21,-0.715,"91.3",41,50,0,0,5.05,-2.49,0.15,1.34,0,0,"0.675",,,"-0.675",,,,,66.7,,,,,,,
23,663986,"Stephan, Trevor",73,31.5,0,0,0,0,0.091,,,0,7,75.4,13,1064,83.1,83.43,5,11,12,0.30000000000001137,6.61,113,148,118,147,300,326,296,"1.036","-1.036",,,,8,3,0,0,0,0,4,50,0,0,3.21696,0.09522,0.62435,0.26261,"88.0",87,0,0,0,5.66,-2.13,0.02,1.7,0.125,0,"-4.504347826",,,"4.504347826",,,,,45.5,,,,,,,
23,671212,"Boyle, Joe",217,10.6,0.5,0,1,0.5,0.445,,,1,2,99,9,2068,92.7,93.1,3,12,11,0.3999999999999915,6.55,115,147,127,151,288,326,294,"-0.636","0.636",,,,2,1,1,0,0,0,1,50,0,0,2.64435,0.00913,1.21565,-0.71478,"91.9",27,100,0,0,5.68,-1.25,-0.12,1.76,0.5,0,"2.765217391",,,"-2.765217391",,,,,25,,,,,,,
23,608372,"Sugano, Tomoyuki",117,19.7,0.444,0.222,0.571,0.667,0.5,,,4,9,88.5,11,1598,86.5,86.61,5,14,9,0.09999999999999432,6.23,116,149,119,150,293,318,294,"-1.021","1.021",,,,10,7,2,2,0,0,2,20,1,10,2.69348,0.33826,0.69783,-0.07,"94.3",159,71.42857142857143,0,0,6.05,-2.5,-0.27,1.8,0.5,0,"4.439130435",,,"-4.439130435",,,,,35.7,,,,,,,
23,678020,"Halvorsen, Seth",149,15.4,0.6,0.2,0.6,0.8,0.623,,,3,5,98.5,6.2,1623,90.1,90.83,1,11,12,0.7000000000000028,6.67,110,137,111,136,297,320,292,"-1.769","1.769",,,,6,5,2,1,0,0,0,0,1,16.7,2.4213,0.38174,1.03087,0.02217,"93.5",115,100,0,0,5.92,-2.57,-0.18,1.73,0.667,0,"7.691304348",,,"-7.691304348",,,,,9.1,,,,,,,
22,671131,"Rutledge, Jackson",94,23.4,0.167,0,0.25,0.167,0.332,,,1,6,74.8,-13.8,1353,84.4,84.46,4,11,11,0.09999999999999432,6.33,118,148,119,148,294,325,304,"-0.372","0.372",,,,9,4,1,0,0,0,2,22.2,3,33.3,2.76318,0.43727,1.11682,-0.50682,"88.7",137,0,0,0,6.2,-1.3,0.03,1.86,0.444,0,"1.690909091",,,"-1.690909091",,,,,36.4,,,,,,,
22,681035,"Scott, Christian",103,21.4,0.2,0.4,0.5,0.6,0.318,,,1,5,86.8,30.5,1074,84.3,85.3,7,11,11,1,6.95,112,144,121,144,295,313,286,"-0.063","0.063",,,,5,2,0,0,1,0,3,60,0,0,3.06682,0.14364,1.05773,0.03682,"92.8",150,50,0,0,5.33,-2.95,-0.92,2.15,0.2,0,"0.286363636",,,"-0.286363636",,,,,63.6,,,,,,,
