pitcher_id,pitcher_name,pitch_type,count,pitch_percent,rhh_percent,lhh_percent,start_speed,max_start_speed,ivb,hb,release_pos_z,release_pos_x,extension,tj_stuff_plus
621111,Walker Buehler,FC,9,0.11538461538461539,0.047619047619047616,0.19444444444444445,89.34444444444443,91.5,9.933333333333332,-4.499999999999999,5.7436696238983815,1.0568344340567721,6.505575899815836,100.30479697669878
675525,Anderson Bido,CU,6,0.1935483870967742,0.2,0.1875,80.66666666666667,81.0,-1.1500000000000001,-0.2166666666666667,6.336634707824014,1.9081539704683435,5.912854966511731,92.97204530105819
663901,Michael Flynn,ST,59,0.21611721611721613,0.2288135593220339,0.2064516129032258,82.17457627118642,85.1,3.6830508474576282,-17.54915254237288,5.295570677033141,3.116996453185225,6.226519630732969,113.23254410675312
686228,Juan Burgos,CU,9,0.06,0.05555555555555555,0.07142857142857142,84.26666666666665,86.3,-3.033333333333333,-12.866666666666667,5.194519789052585,1.750970344553675,6.239448985551404,103.80760133725369
687273,Quinn Mathews,CH,368,0.21320973348783315,0.28606760098928274,0.04093567251461988,81.60190217391312,87.5,4.876358695652171,12.657608695652172,5.487615811323704,1.8059807753160981,6.23411024895114,95.7331374996631
679777,Nick Mikolajchak,CU,70,0.12987012987012986,0.1196808510638298,0.15337423312883436,80.01714285714286,82.8,-9.64857142857143,-6.50857142857143,5.876567401238776,2.295027316617647,6.505103323711991,99.05199113917371
694787,Jimmy Burnette,SI,64,0.2191780821917808,0.18354430379746836,0.26119402985074625,92.80468750000003,95.2,13.053125000000003,12.117187499999998,5.260900139641287,2.66038943822538,6.355222609505235,95.14737774624565
801434,Paul Gervase,FC,201,0.19900990099009902,0.19165085388994307,0.2070393374741201,90.08955223880596,93.5,11.151243781094534,-1.024378109452736,5.477709336945749,2.483326259232558,7.458699271505809,97.80806455291504
663321,Nick Hernandez,SL,481,0.6190476190476191,0.687374749498998,0.49640287769784175,82.14636174636188,84.7,1.8852390852390861,-3.8444906444906457,5.8215332956799966,2.465202379905905,6.414984080161637,98.949803021833
695505,Chase Burns,FF,82,0.47126436781609193,0.47058823529411764,0.47191011235955055,97.89512195121954,100.5,17.52682926829268,3.575609756097561,6.614161430177981,1.6002699107385274,6.306029405732617,110.54387562140874
607192,Tyler Glasnow,CU,22,0.11458333333333333,0.09243697478991597,0.1506849315068493,82.93636363636364,86.5,-13.140909090909089,-6.690909090909091,6.093996950146177,1.4930202701779693,7.344161790096762,109.44213781869259
664062,Tony Gonsolin,SL,40,0.17699115044247787,0.24299065420560748,0.11764705882352941,87.7325,89.5,4.177500000000001,-2.995,6.298574199797288,0.8528175420491875,5.847696289239543,103.2054388174458
641360,Phil Bickford,FF,536,0.6733668341708543,0.5994897959183674,0.745049504950495,91.98955223880601,94.7,14.162873134328345,7.974067164179105,4.820650930435252,2.3006364280270533,6.753932363053343,99.84347631237021
669081,Jack Dashwood,SI,111,0.11598746081504702,0.12048192771084337,0.10904255319148937,92.38558558558557,95.0,13.452252252252254,10.525225225225224,6.390790978097369,1.9083786474234226,6.309555453917414,85.29207011746092
641540,Dane Dunning,SI,360,0.3160667251975417,0.4253246753246753,0.18738049713193117,89.39861111111114,91.9,7.945277777777775,13.916111111111107,5.660126326675314,2.3276953431997938,6.815151573337345,89.84534062539461
682239,Luke Ritter,EP,55,0.7638888888888888,0.7906976744186046,0.7241379310344828,38.41454545454547,49.8,19.09818181818182,1.3054545454545452,7.138399084636791,1.315283728298806,4.111063316535196,67.29809510092043
667652,Jack Ralston,FC,82,0.2265193370165746,0.26582278481012656,0.152,86.1012195121951,94.6,0.6548780487804877,-1.096341463414634,6.934831567182138,0.2909225069034959,5.87316869289472,104.8096554125284
682243,Bryce Miller,ST,11,0.05670103092783505,0.0625,0.05102040816326531,82.33636363636364,84.1,-6.509090909090909,-15.98181818181818,5.465583494056162,1.0569380715025867,6.2533224888778784,105.44919434131901
605463,Tayler Scott,FF,161,0.4025,0.4207650273224044,0.3870967741935484,92.87826086956525,95.1,10.19503105590062,14.146583850931682,4.836472428732701,3.4639782326736874,5.870646171297689,96.31567501845207
669438,Mason Englert,CU,33,0.09166666666666666,0.04081632653061224,0.1267605633802817,76.7272727272727,79.2,-13.92424242424242,-11.469696969696969,5.936250861679128,1.4767821748128136,6.174790638086428,99.0302707082821
594580,Sam Moll,CH,44,0.10114942528735632,0.21256038647342995,0.0,85.23409090909091,87.7,-6.854545454545454,11.909090909090907,4.934543483667074,2.211985049795327,4.697855699326836,95.51984872307622
692024,Alex Carrillo,SL,140,0.35805626598465473,0.42857142857142855,0.29207920792079206,85.58000000000001,90.0,-0.09214285714285712,-4.3549999999999995,5.286720581002359,1.8028586767787542,5.643435421157699,103.8854957326779
666661,Juan Morillo,SI,53,0.14133333333333334,0.27419354838709675,0.010582010582010581,98.7377358490566,100.8,11.07547169811321,12.539622641509437,5.828251004416594,1.6336270649477729,6.316292924061159,97.22645029991841
677960,Ryan Weathers,ST,52,0.21052631578947367,0.14935064935064934,0.3118279569892473,84.38653846153845,87.5,1.7634615384615384,-8.524999999999999,5.638927105526145,3.0771743235639466,5.870777876713499,105.11112917301786
622256,Patrick Weigel,CH,36,0.05921052631578947,0.0034129692832764505,0.1111111111111111,86.30555555555556,89.2,-0.46111111111111114,8.863888888888889,5.487330148762549,3.2318513264074373,6.0745243809898675,91.75644791267285
681097,Andrew Moore,FF,11,0.2619047619047619,0.17857142857142858,0.42857142857142855,97.56363636363636,99.8,15.672727272727274,8.518181818181818,5.3659194171547595,1.5249573251783295,6.954522142450975,104.1333289435813
702126,Aaron Davenport,SI,72,0.04534005037783375,0.0594059405940594,0.03076923076923077,90.175,92.6,8.570833333333333,13.291666666666671,5.898629172996759,1.6862804676341319,6.4204986317859705,90.40404253530197
668971,Mason Hickman,CU,112,0.26666666666666666,0.26334519572953735,0.2733812949640288,74.07142857142857,76.2,-6.850892857142857,-12.274107142857144,6.073782293533147,1.8599989590320558,6.970773913354291,91.56074086665119
699613,Houston Harding,FF,23,0.4339622641509434,0.5,0.18181818181818182,90.41304347826087,92.6,16.52173913043478,7.178260869565216,5.897521999400017,2.5807172177253754,6.694163518783942,98.31910447259142
680735,Austin Cox,FF,272,0.40236686390532544,0.4110787172011662,0.3933933933933934,92.20404411764714,95.0,17.562499999999996,4.0275735294117645,6.320361940132233,1.3008525481813695,6.220077824770113,91.76887512453015
686924,Tyler Myrick,SI,12,0.05454545454545454,0.06722689075630252,0.039603960396039604,92.10000000000001,93.3,10.833333333333334,10.399999999999999,5.7583338562954145,1.943925412049495,5.833555575691385,80.68691888507834
682144,Jayvien Sandridge,FS,38,0.06473594548551959,0.09722222222222222,0.013215859030837005,85.81315789473686,88.8,2.6578947368421058,8.844736842105263,6.255133837747502,1.1852147534244202,6.656641807945742,102.81943237367383
